,comment,rating
0,"Uzun yıllar kullanmak için aldık. Stanley zaten iyi bir ürün fakat ürünün bir kutusu vs olmayabilir, anlarım. Etrafına koruma bile sarılmamış. Birbirini çizsin diye sanki bile bile böyle paketlenmiş. Ayrıca üzerindeki toz yığını ve kapağındaki çizikler de neyin nesi anlamadım. Sıfır ürün dimi bu?",3
1,"Ürün herkesin bahsettiği gibi sadece kutu icinde geldi. O kadar para verip ürünün daha özenli gelmesini beklememiz normal sanırım:) neyse ki gayet sağlam ulaştı elime. Videolu cekimle actım. İlk su testleri vs yaptım gayet başarılı. Ömür boyu garanti icin detayları okuduğunuzda sadece sızıntı,ic haznede olusacak deformasyonu karsıladıkları yazıyor. Yani siz stanley aldım ama düştü çizildi hemen derseniz maalesef karşılamıyorlar. Ek olarak kapak ic haznedeki silikonlu yapı hemen bozulacakmıs gibi duruyor. Dikkatli takıp çıkarmak lazım. İlk izlenimlerim iyi. Benzerlerine baktım 400-500 bandında da alınacak ürünler varken sırf marka diye fazla abartıyoruz diyerek bir eleştiri eklemek istiyorum kendime de :) iyi alıs verişler",4
2,Suanlık akıtma falan yok ama kargo korumalı değildi sorunsuz gelsede daha detaylı kargolanabilirdi garanti barkodu vardı,5
3,"hızlı kargo ve hepsiburada kendisi gönderdi, kırıksız çiziksiz garantisiyle barkoduyla herbişeyi tamam geldi. hemen kaydı yaptırdım , içini dışını inceledim pirupak. denemedim henüz sıcak-soğuk saatini bilemiyorum.ama kullanan arkadaşlar kesinlikle çok memnun",5
4,Ürün kaliteli  bişey içerken tetik mekanizması içiminize göre su debisini iyi ayarlamayı sağlıyor içindekileri yaklaşık saatte yüzde 1 lik ısı kaybıyla saklıyor dayanıklı bir magzemeden yapılmış tavsiye ederim temizliği kolay,5
5,Memnunum sabahları okula götürüyorum    Öğlen 3 e 4e kadar idare ediyor,5
6,"Kargo özensiz demişler yorumlarda ama baya sağlam paketlenmişti fotografları ekledim poşetten ekstra birde  kağıta sarmışlar gayet sağlamdı
22 Kasım'da satın aldım 24 Kasım'da Afyona geldi HepsiJet çok hızlıydı ürünü daha kullanmadım ama Stanley kalitesi üzerinde barkodu da bulunuyor ömür boyu garanti için gayet güzel ben indirdimde iken aldım kullanımıma göre yorumu güncellerim",5
7,Biz çok beğendik ..,5
8,Kesinlikle parasına değer. Gece 3te doldurduğum sıcak su 12de bile sıcaktı. Gün içinde içildiğinden dolayı bu 6 saate falan düşüyor ama yeter de artar bile. Malzeme gayet kaliteli,5
9,Ürün bildiğiniz stanley kalitesi herhangi söylenecek söz yok. Kargolama kötüydü sözde güvenlik bandından tasarruf edilmeye çalışılmış sanki. Kutu kenarından deforme geldi. Ürün bu katlanmış yerinden çıkıyor mu diye baktım tam da katlama yerlerinden ürünü aldım. Neyseki bakıp geri koymuşlar hıyar da koyabilirlerdi,5
10,Cuma günü sipariş vermiştim bugün elime geçti .harika bir malzeme kullanılmıs. Kulbu olduğundan dolayı taşınması çok rahat kargoda elime çok hızlı ulaştı ve özenli paketlenmiş .bugün yeşilininde siparişini verdim 😍sadece ürünü ömür boyu Garanti formuna kaydedemedim tek sorun o ona da mesaj attım,5
11,Çok beğendi oğlum.çay seven biri olarak okula çay götürüyor.çay parasindan kurtuldu.diger ünv.okuyan oğluma aldım.kulanimida çok kolay akıtmıyor iyiki aldım.sadece kargoyu beğenmedim.o kadar para verip bir kutunun içine atip gelmesi hiç olmamıştı daha özen gosterilebilirdi,5
12,"Orijinal barkodlu geldi. Hiç bir sorun yoktu. Ancak paketleme yetersizdi. Direkt karton kutu içine koyulmuş, zarar görülebilirdi. Keşke daha özenle paketlenseydi.",5
13,Hepsiburada dan aldım. Ürün eksiksiz ve sorunsuz elime ulaştı. Teşekkürler.,5
