,comment,rating
0,"Elinden her iş gelen biri olarak yorum yapıyorum.
Tek kelimeyle harika. Tam bir fiyat performans ürünü. Çok beğendim. İsveçli markanın dandik sunta ürününe dünyanın parasını vermeyin derim. Taşıyıcı ayakların metal olması çok iyi, uzun ömürlü olacağını düşünüyorum. Ürün kutusunda, iyi ambalajında, tim parçaları eksikiz ve montaj şeması ile geldi. Hatta allen anahtarı ve vidaler için plastik ahşap dubelleri de içinde idi. Ben çok memnun kaldim.",5
1,Kesinlikle malzeme kalitesi yüksek bir ürün. Mobilyada iş yaparken kullanmak için aldım. Ürün kurulumu kolay. Eşinle beraber severek yaptık. Satıcı ürünü ambalajlaması çok kaliteliydi. Ürün elime hızlı ulaştı.,5
2,"Çok güzel,çok kullanışlı tam aradığım ölçülerde bir masa.Kurulumu çok basit ve sorunsuz oldu.Anlamadigim şey;yorumlarda hızlı kargo demişler de ben pazar akşamı sipariş verdim,hemen ""kargoya verildi ""bildirimi geldi ve ürün pzts elime ulaştı.Ultra hızlı kargo sanırım bu.Pazar aksami açık kargoyu nerden buldunuz😄.Paketleme,açıklama çok iyiydi.Kesinlikle tavsiye ediyorum",5
3,Çok güzel paketlenmiş bir şekilde geldi. Oğlum ödevlerini rahat yapsın diye aldım. Rahat ve kullanışlı ama fiyatı gerçekten biraz pahalı.,4
4,Beklediğimden çok daha iyi geldi. Paketlemesi çok güzeldi sorunsuz ulaştı elime. Büyüklüğü gayet ideal.tavsiye ederim.,5
5,"Ertesi gün elime sağlam parçaları eksiksiz olarak geçti. Şemaları takip ederek kolayca kurdum. Oldukça sağlam, 5 kilodan fazla kedim üstünde yatıyor arada. 5-6 gündür kullanıyorum memnun kaldım ,teşekkürler",5
6,"Uzun zamandır bu tarz bir sehpa almayı düşünüyordum. Uygun bir fiyatla aldığımı düşünüyorum. Kurulumda zorluk yaşamadım ve tam istediğim gibi oldu. Ürünün paketlenmesi iyiydi ancak köşede küçük bir çatlak gördüm. Yine de değiştirmeyi düşünmüyorum, taşımada her zaman böyle şeyler oluyor malesef.",5
7,"Alt bağlantı vidalarını tam sıktığımda suntanın üst tarafından hafif patlattı. Sıkmazsan da üst oynuyor. Vidayı 2 mm kısa yapsalardı veya suntayı 2mm kalınlaştırsalardı yine sapasağlam olacaktı. Patlayan yer laptopun altında kaldığı için iade etmiyorum. Alacak olanlar dikkat etsin. Birileri çıkıp kullanıcı hatası, sıkarken çok zorlamışsın vs diyebilir. Altına 1 mm pul koyduğum halde hafif patlattı. Pul koymasam sanırım tam kabaracaktı. Ürünün sağlamlığına diyecek bişey yok. Diğer tüm parçaları sapasağlam. Ben alırım, alt bağlantıyı tam sıkmam, her kolumu koyduğumda suntası oynasın diyorsanız veya vidaların altına daha kalın pul takarım sorun olmaz diyorsanız buyurun alın.",3
8,Fotoğraflarda görüldüğü gibi güzel.  Kurulumu basit çok fonksiyonel bi sehpa. Ürün çok güzel paketlenmiş açarken baya zorlandım☺️ kurulum şeması göndermişler parçaları da eksiksiz geldi teşekkürler 🤩,5
9,Ürün gerçekten çok güzel ve kaliteli. Montaj için sadece çekiç gerekli,5
10,Teşekkür ederim tam istediğim gibi geldi ayrıca kaliteli bir ürün,5
11,Sehpayi az önce teslim aldım. Çok beğendim. Kurulumu çok kolaydı. Rengi çok hoş kaliteli bir ürün.,5
12,Ürünü yorumlara bakarak tereddütle almıştım. Bana gayet güzel geldi. Kenarlarında fln sıkıntı yok. Teşekkürler.,5
13,Fiyatina göre gayet başarılı kurulumu kolay satıcı teslimat tarihinden önce gönderdiği için ayrıca teşekkür ederim.,5
14,3 adet aldım. Nakliyeden ve ürünün nasıl ulaşacağından yana endişeliydim . Ancak harika bir paketle kısa zamanda ulaştı. Kurulumu kolay. Sadece orta bağlantı çubuğunun gireceği deliklerde çapak var. Temizlemek gerekiyor. Büyüklük ideal. 15.6 laptop fotograftaki gibi yer kaplıyor. Yanda hatırı sayılır bir boşluk kalıyor. Çok amaçlı kullanmak mümkün. Sallanmıyor. Stabil ve dengeli. Tavsiye ederim.,5
15,"Kimsenin deginmedigi bi mevzu, fotografta yolladigim leptop 17 inc, ona gore kafanizda canlandirin, cizim icin aldim, genel isler icin on numara, oyun icin istiyosaniz yine guzel fakat genis mouse alani istiyosaniz bu olculerde zorlanabilirsiniz. Urun malzemeleri haddinden fazla guzel, paketleme mükemmel, kurulum kolay.",5
16,Ürün sorunsuz geldi. Sağlam paketlenmişti. Kurulumu basit tek başıma kurabildim. Satıcıya teşekkür ederim.,5
17,Ürün çok başarılı mükemmel genişlik 60 cm yerine 70cm olsaydı daha iyi olurdu kaliteli kullanışlı küçük çoğunuz varsa yemek yedirmek için de kullanabilirsiniz,5
18,Başta boyu konusunda tereddüt ettim ama aşırı memnunum.. Boyu daha yüksekte ayarlanabiliyor aslında ama öyle yaparsanız sallanıyor biraz.. çok ağırlık kaldırmaz ister istemez ama laptop icin kâfi... kullanımı çok rahat ve kurulumuda çok kolay..,5
19,Kurulumu kolay ancak masa bölümüne vidaları takarken vida boyu uzun olduğu için masayı kabartıyor dikkat etmek gerekiyor resimde daha büyük gibi ama küçük  laptop için uygun ilkokul ders çalışma masası olarak da kullanacağız,4
20,Ürün çok güzel. Dizüstü bilgisayar kullanımı için aldım. Kurulumu 5dk içinde tamamlanıyor. Siparişim 24 saat dolmadan elime ulaştı. 1 puanı kargonun evde bulunmama rağmen site güvenliğine bırakılması sebebiyle kırıyorum. Hepsijet firmasının dağıtıma dikkat etmesi gerekiyor.,4
21,"Ürün dusundugumden daha güzel geldi ve suanlik gorunen baya sağlam olduğu, kargo hızlıydı, satıcı ise ilgiliydi sorulara hemen geri dönüş yaptı 😊",5
22,Kurduktan sonra kenarları soyulduğunu farkettim. Vidaların girdiği yer çatladı kurmadan baksaydım iade ederdim. Sanayide yaptırsanız 800-900 isterler idare eder.,3
23,Üründe bir problem yok taşımada kenarı zarar görmüş kenarlık kullanılmadığı için birde ben aldıktan sonra indirimler yapılmış 250₺ küsüre alabilecekken 360 küsüre aldım,4
